text,label
CONGRATULATIONS! You have won $50000. Claim your prize now!,spam
Weekly newsletter: Here are the top stories from our community.,ham
URGENT: Click here to claim your $1000 prize money now!!!,spam
CLICK NOW: Limited time offer for miracle weight loss pills.,spam
FREE MONEY: Government grants available. Apply today!,spam
Weekly newsletter: Here are the top stories from our community.,ham
URGENT: Suspicious activity detected. Click to verify account.,spam
Password reset request: Click here to reset your password securely.,ham
The quarterly report is ready for your review. Please check email attachment.,ham
Your subscription renewal is due next week. Please update payment method.,ham
Thank you for your order. Your package will arrive in 3-5 business days.,ham
FREE OFFER: Get rich quick with this amazing opportunity!,spam
Meeting reminder: Team standup at 9 AM in conference room B.,ham
"Hi, are we still meeting for lunch tomorrow at 1 PM?",ham
Your subscription renewal is due next week. Please update payment method.,ham
Doctor appointment reminder: You have an appointment tomorrow at 2 PM.,ham
FREE MONEY: Government grants available. Apply today!,spam
WINNER: You have been selected for a cash prize. Act fast!,spam
Flight confirmation: Your booking reference is ABC123. Check-in opens 24 hours before.,ham
Happy birthday! Hope you have a wonderful celebration today.,ham
URGENT: Suspicious activity detected. Click to verify account.,spam
URGENT: Your account will be closed. Verify immediately.,spam
WINNER: You have been selected for a cash prize. Act fast!,spam
CLICK NOW: Limited time offer for miracle weight loss pills.,spam
Thank you for your order. Your package will arrive in 3-5 business days.,ham
Meeting reminder: Team standup at 9 AM in conference room B.,ham
FREE OFFER: Get rich quick with this amazing opportunity!,spam
"Hi, are we still meeting for lunch tomorrow at 1 PM?",ham
Make $5000 per week working from home. No experience needed!,spam
Flight confirmation: Your booking reference is ABC123. Check-in opens 24 hours before.,ham
Make $5000 per week working from home. No experience needed!,spam
Password reset request: Click here to reset your password securely.,ham
The quarterly report is ready for your review. Please check email attachment.,ham
URGENT: Your account will be closed. Verify immediately.,spam
CONGRATULATIONS! You have won $50000. Claim your prize now!,spam
Congratulations! You've won a lottery. Send your bank details immediately.,spam
Happy birthday! Hope you have a wonderful celebration today.,ham
URGENT: Click here to claim your $1000 prize money now!!!,spam
Congratulations! You've won a lottery. Send your bank details immediately.,spam
Doctor appointment reminder: You have an appointment tomorrow at 2 PM.,ham
