text,label
"Congratulations, you've won a free ticket to Bahamas!",1
"Meeting agenda for next week attached.",0
"Buy cheap meds now!!! Limited offer",1
"Your invoice is attached.",0
"Win $1000 by clicking this link",1
"Project update: please review",0
"Act now! Offer expires today",1
"Schedule for your upcoming meeting",0
"Cheap vacation packages. Don't miss out!",1
"Can we reschedule our call?",0
"Free trial for 1 month. No credit card needed!",1
"See you at the office tomorrow",0
"Limited-time offer, exclusive deal for you",1
"Team lunch on Friday",0
"Your subscription is about to expire!",1
"Monthly report attached",0
"Don't miss this chance to earn money",1
"Follow up on your job application",0
"Important: update your account info",1
"Happy birthday! Let's celebrate",0
